date,Open,High,Low,Close,Volume
2023-01-03,184.0,198.1,182.2,198.0,3090421.0
2023-01-04,209.4,218.0,209.2,216.2,4772915.0
2023-01-05,223.8,223.8,211.2,214.0,4219412.0
2023-01-06,224.6,228.0,216.6,220.0,3885681.0
2023-01-09,220.2,227.6,219.0,224.0,2138639.0
2023-01-10,213.8,216.0,211.0,214.4,3382883.0
2023-01-11,216.6,224.6,213.8,217.6,2736794.0
2023-01-12,212.0,214.8,199.6,207.4,4146877.0
2023-01-13,206.0,215.0,204.4,213.4,1591668.0
2023-01-16,218.8,219.4,209.0,212.2,1596984.0
2023-01-17,212.4,216.6,208.2,212.0,1217292.0
2023-01-18,207.2,211.4,204.4,209.2,1298967.0
2023-01-19,200.2,205.4,197.0,202.8,2790905.0
2023-01-20,195.6,202.6,194.5,201.2,3231247.0
2023-01-26,204.8,218.8,203.6,217.2,4061136.0
2023-01-27,220.0,222.4,215.8,218.4,1594868.0
2023-01-30,217.2,217.2,198.8,199.8,4615906.0
2023-01-31,201.6,202.6,190.2,194.8,3744481.0
2023-02-01,197.2,204.0,191.2,203.6,2811390.0
2023-02-02,207.6,208.8,200.0,201.2,1274959.0
2023-02-03,199.4,202.4,195.4,197.2,1642245.0
2023-02-06,190.0,190.8,184.0,186.6,3031837.0
2023-02-07,185.0,193.3,184.6,187.4,2279247.0
2023-02-08,184.7,184.7,178.5,180.7,2723365.0
2023-02-09,179.1,186.9,176.2,186.6,2197673.0
2023-02-10,178.6,179.0,171.0,172.2,5863532.0
2023-02-13,170.0,178.7,168.1,176.8,2131076.0
2023-02-14,176.9,177.1,173.0,174.3,2031042.0
2023-02-15,175.5,177.6,170.4,171.9,1727336.0
2023-02-16,177.4,186.7,176.0,182.2,3625677.0
2023-02-17,179.9,184.9,175.9,177.0,1944900.0
2023-02-20,177.0,182.3,173.1,181.6,2334504.0
2023-02-21,181.5,185.7,172.2,172.4,3544323.0
2023-02-22,171.0,175.8,168.5,171.4,2683081.0
2023-02-23,173.4,180.0,172.1,177.6,2279569.0
2023-02-24,173.5,174.1,166.5,167.0,3182805.0
2023-02-27,161.9,165.3,158.0,162.4,2615210.0
2023-02-28,158.8,159.6,150.9,154.9,4669972.0
2023-03-01,154.9,167.1,152.0,166.0,4821898.0
2023-03-02,155.1,156.1,151.8,153.1,5968709.0
2023-03-03,168.5,170.8,160.4,168.9,6345302.0
2023-03-06,173.9,176.6,170.7,173.3,2631656.0
2023-03-07,173.2,173.6,161.4,163.9,3453560.0
2023-03-08,160.3,162.2,157.5,157.9,2216974.0
2023-03-09,158.0,160.4,154.0,154.0,1827525.0
2023-03-10,146.0,149.9,142.2,147.3,4586401.0
2023-03-13,155.0,168.6,154.8,163.0,8136088.0
2023-03-14,165.0,172.0,160.1,161.0,6066874.0
2023-03-15,169.1,175.7,167.1,168.8,4614643.0
2023-03-16,165.5,171.1,161.0,161.9,3666250.0
2023-03-17,173.5,180.0,171.5,179.7,6512502.0
2023-03-20,175.0,177.7,167.0,169.3,4345303.0
2023-03-21,182.8,184.8,173.4,181.0,6868582.0
2023-03-22,180.3,187.5,178.9,183.8,4657730.0
2023-03-23,179.4,193.3,178.0,190.8,5458060.0
2023-03-24,190.4,196.4,188.1,190.4,3663517.0
2023-03-27,188.1,193.2,182.1,188.4,4737073.0
2023-03-28,191.0,195.4,189.3,190.7,4061769.0
2023-03-29,198.9,204.0,190.5,192.3,4337535.0
2023-03-30,192.0,193.8,188.0,191.3,2150036.0
2023-03-31,192.5,193.8,187.5,189.6,2938666.0
2023-04-03,181.0,183.3,176.0,181.1,5112096.0
2023-04-04,179.4,179.4,168.2,171.0,6391471.0
2023-04-06,166.7,169.2,164.7,168.7,2740030.0
2023-04-11,167.6,170.4,163.0,170.0,3586820.0
2023-04-12,172.0,172.0,165.0,167.3,3211720.0
2023-04-13,160.0,169.0,160.0,168.8,3048540.0
2023-04-14,169.7,171.3,164.3,167.6,2308002.0
2023-04-17,167.1,172.9,164.5,170.5,2665434.0
2023-04-18,170.5,171.4,166.4,170.2,1701945.0
2023-04-19,169.0,169.0,162.9,164.3,2040796.0
2023-04-20,164.3,166.4,162.3,163.1,1762674.0
2023-04-21,162.0,162.0,156.4,158.0,2684328.0
2023-04-24,160.0,163.7,157.6,160.1,1367047.0
2023-04-25,157.0,157.0,150.0,153.3,1921357.0
2023-04-26,152.8,163.0,152.8,159.1,3128791.0
2023-04-27,156.0,157.5,151.8,153.9,3294506.0
2023-04-28,156.0,160.9,155.9,157.2,1961522.0
2023-05-02,157.2,161.3,153.0,155.2,1053235.0
2023-05-03,148.9,151.0,146.3,150.6,1504057.0
2023-05-04,152.0,156.0,151.6,154.1,1571775.0
2023-05-05,159.0,159.9,154.5,155.7,1662081.0
2023-05-08,156.6,159.7,155.6,156.3,1092604.0
2023-05-09,156.3,156.3,150.2,150.7,1645185.0
2023-05-10,151.8,152.8,146.7,147.3,1715355.0
2023-05-11,147.3,148.0,142.0,145.5,1855259.0
2023-05-12,148.5,149.0,143.1,145.4,1481716.0
2023-05-15,142.1,146.9,141.5,146.3,1413502.0
2023-05-16,153.1,154.3,147.3,149.1,2351361.0
2023-05-17,149.9,149.9,140.3,141.6,2016135.0
2023-05-18,144.8,148.3,144.0,146.6,1482480.0
2023-05-19,144.6,144.6,141.0,141.0,1143665.0
